State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
South Dakota,2021,0.0,0.0,83.0,58.0,160.0,218.0,0.0,0.0,0.0,0.0,7.0,14.0,21.0,264.0
Tennessee,2021,9.0,20.0,95.0,685.0,1637.0,2322.0,0.0,0.0,0.0,4.0,23.0,32.0,55.0,1820.0
Texas,2021,15.0,107.0,272.0,2320.0,5501.0,7821.0,0.0,0.0,0.0,15.0,176.0,208.0,384.0,6294.0
Utah,2021,1.0,42.0,1.0,909.0,1980.0,2889.0,0.0,0.0,0.0,1.0,21.0,15.0,36.0,2061.0
Vermont,2021,2.0,3.0,0.0,329.0,878.0,1207.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,884.0
Virginia,2021,7.0,23.0,64.0,1139.0,3302.0,4441.0,0.0,1.0,1.0,1.0,36.0,49.0,85.0,3483.0
Washington,2021,23.0,24.0,14.0,1773.0,4325.0,6098.0,0.0,1.0,1.0,1.0,52.0,26.0,78.0,4466.0
West Virginia,2021,1.0,2.0,38.0,110.0,306.0,416.0,0.0,0.0,0.0,0.0,5.0,12.0,17.0,364.0
Wisconsin,2021,4.0,43.0,262.0,475.0,961.0,1436.0,0.0,0.0,0.0,1.0,17.0,35.0,52.0,1323.0
Wyoming,2021,0.0,9.0,9.0,70.0,184.0,254.0,0.0,0.0,0.0,0.0,6.0,14.0,20.0,222.0
Total,2021,706.0,1510.0,4351.0,50097.0,128703.0,178800.0,49.0,18.0,67.0,103.0,1239.0,1567.0,2806.0,138246.0
Alabama,2020,10.0,30.0,29.0,224.0,598.0,822.0,0.0,0.0,0.0,2.0,24.0,47.0,71.0,740.0
Alaska,2020,0.0,1.0,0.0,37.0,68.0,105.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,72.0
Arizona,2020,75.0,30.0,20.0,573.0,1788.0,2361.0,0.0,1.0,1.0,7.0,28.0,50.0,78.0,1999.0
Arkansas,2020,3.0,15.0,50.0,112.0,350.0,462.0,0.0,0.0,0.0,1.0,9.0,27.0,36.0,455.0
California,2020,27.0,322.0,198.0,7689.0,34924.0,42613.0,43.0,6.0,49.0,41.0,86.0,182.0,268.0,35829.0
Colorado,2020,7.0,34.0,88.0,1066.0,3253.0,4319.0,0.0,1.0,1.0,0.0,12.0,41.0,53.0,3436.0
Connecticut,2020,1.0,18.0,3.0,456.0,1240.0,1696.0,1.0,1.0,2.0,0.0,8.0,11.0,19.0,1283.0
Delaware,2020,1.0,2.0,1.0,70.0,206.0,276.0,0.0,1.0,1.0,0.0,7.0,2.0,9.0,220.0
District of Columbia,2020,7.0,2.0,3.0,189.0,694.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
Florida,2020,10.0,56.0,94.0,1836.0,5564.0,7400.0,0.0,0.0,0.0,3.0,24.0,90.0,114.0,5841.0
Georgia,2020,6.0,51.0,66.0,1008.0,3661.0,4669.0,0.0,0.0,0.0,4.0,31.0,58.0,89.0,3877.0
Hawaii,2020,7.0,0.0,2.0,320.0,759.0,1079.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,772.0
Idaho,2020,0.0,11.0,5.0,113.0,281.0,394.0,0.0,0.0,0.0,0.0,10.0,17.0,27.0,324.0
Illinois,2020,19.0,38.0,284.0,805.0,2360.0,3165.0,0.0,0.0,0.0,2.0,35.0,59.0,94.0,2797.0
Indiana,2020,3.0,32.0,234.0,282.0,784.0,1066.0,0.0,0.0,0.0,1.0,19.0,39.0,58.0,1112.0
Iowa,2020,10.0,12.0,315.0,188.0,487.0,675.0,0.0,0.0,0.0,0.0,13.0,19.0,32.0,856.0
Kansas,2020,1.0,21.0,56.0,246.0,950.0,1196.0,0.0,0.0,0.0,1.0,3.0,34.0,37.0,1066.0
Kentucky,2020,3.0,9.0,72.0,168.0,383.0,551.0,0.0,0.0,0.0,1.0,3.0,25.0,28.0,496.0
Louisiana,2020,1.0,22.0,18.0,141.0,360.0,501.0,0.0,0.0,0.0,1.0,8.0,43.0,51.0,453.0
Maine,2020,2.0,2.0,0.0,220.0,518.0,738.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,531.0
Maryland,2020,11.0,12.0,43.0,884.0,2776.0,3660.0,0.0,0.0,0.0,0.0,10.0,17.0,27.0,2869.0
Massachusetts,2020,10.0,13.0,7.0,1038.0,3415.0,4453.0,0.0,1.0,1.0,1.0,9.0,21.0,30.0,3477.0
Michigan,2020,10.0,24.0,236.0,567.0,1605.0,2172.0,0.0,2.0,2.0,0.0,24.0,67.0,91.0,1968.0
Minnesota,2020,146.0,23.0,422.0,445.0,1218.0,1663.0,0.0,0.0,0.0,0.0,17.0,26.0,43.0,1852.0
Mississippi,2020,2.0,8.0,5.0,104.0,344.0,448.0,0.0,0.0,0.0,2.0,16.0,60.0,76.0,437.0
Missouri,2020,2.0,20.0,115.0,508.0,2060.0,2568.0,0.0,0.0,0.0,1.0,22.0,49.0,71.0,2269.0
Montana,2020,1.0,1.0,1.0,65.0,188.0,253.0,0.0,0.0,0.0,0.0,14.0,25.0,39.0,230.0
Nebraska,2020,3.0,10.0,88.0,115.0,287.0,402.0,0.0,0.0,0.0,1.0,5.0,25.0,30.0,419.0
Nevada,2020,2.0,8.0,12.0,299.0,1166.0,1465.0,0.0,0.0,0.0,0.0,9.0,13.0,22.0,1210.0
New Hampshire,2020,2.0,4.0,0.0,131.0,291.0,422.0,0.0,0.0,0.0,0.0,9.0,13.0,22.0,319.0
New Jersey,2020,4.0,28.0,6.0,553.0,1652.0,2205.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,1703.0
